feature,gain_importance,split_importance
MT1M,480.4255259037018,19
ATP2B2,371.8736615180969,26
MT1H,253.69559860229492,8
RBP4,147.8527787923813,11
C3,96.47649765014648,3
KLF15,89.37610149383545,4
PMEPA1,71.98270976543427,8
PEG10,61.91776943206787,7
CYP2A7,58.28099012374878,11
GPC6,54.93030071258545,3
CYP27A1,54.662439823150635,6
SERPINA10,53.98225975036621,5
CYP2D6,49.87539052963257,6
ADM2,47.31219959259033,3
F10,44.282999992370605,4
APOB,43.50122928619385,4
COL6A2,40.93613958358765,4
SNX7,39.2121000289917,2
MAT1A,36.47086048126221,3
RARRES2,34.577680587768555,3
ABCA6,32.441100120544434,3
HBB,32.127201080322266,1
SEC24C,32.05929946899414,1
CENPM,26.422800064086914,2
ENPP2,24.602720022201538,5
FADS2,23.225280046463013,4
GPC1,22.567610025405884,3
F11,20.037500381469727,1
SLC29A4,19.47958993911743,3
KIFC1,18.51296043395996,3
PROZ,17.53988027572632,4
GEM,16.610870361328125,2
FAXDC2,15.839739799499512,3
SLCO1B1,15.619229793548584,3
PON1,14.460519790649414,2
AURKB,12.936319828033447,2
C1orf210,12.849900007247925,4
TMEM176A,11.761199951171875,1
UGT2B17,11.475800037384033,2
ALDH6A1,10.975299835205078,1
CPB2,10.10990047454834,1
GAMT,8.522310256958008,1
FGA,8.390320301055908,2
CTSS,7.803609848022461,1
ACSL1,7.068239808082581,3
PACSIN3,6.449982013553381,4
SULT1C2,6.4070000648498535,1
AGPAT2,5.467679977416992,3
TNFRSF11B,5.004260063171387,1
C8G,4.946239948272705,1
SHMT1,4.906650066375732,2
FBLN5,4.8645100593566895,1
SLC38A3,4.860150098800659,2
SLC51A,4.7558117508888245,2
ELOVL7,4.5025200843811035,2
SDS,4.397905111312866,2
KLKB1,4.044960021972656,2
CXCL12,3.9347400665283203,1
MT1G,3.718840003013611,2
HRG,3.569390058517456,1
PAH,3.422339916229248,1
LSR,3.293790102005005,1
KRT7,3.090169906616211,1
FCN3,2.876539945602417,1
MT1A,2.6487600803375244,1
CCNB1,2.6271400451660156,1
BCL2L10,2.594670057296753,1
CREB3L3,2.5757619738578796,4
PRSS8,2.500349998474121,1
ASGR2,2.044790029525757,1
ASGR1,2.0198099613189697,1
UNC5CL,1.9276200532913208,1
MT1F,1.831760048866272,1
LBP,1.8193600177764893,1
DGAT2,1.8169699907302856,1
S100A14,1.739549994468689,1
FMO3,1.6769579648971558,2
MOGAT2,1.6717699766159058,1
NDUFA4L2,1.6685800552368164,1
LAMB3,1.625380039215088,1
H2AC6,1.4805599451065063,1
C4A,1.3554600477218628,1
CYP1A1,1.3395999670028687,1
SPARCL1,1.3329499959945679,1
