feature,gain_importance,split_importance
ATP2B2,737.8899502754211,48
F11,454.4056668281555,21
AFP,258.80734157562256,14
MT1M,248.95398950576782,9
CFH,101.07312965393066,8
MGLL,90.83930015563965,5
CYP2D6,81.38372993469238,9
PLA2G12B,54.4651420712471,7
MCHR1,50.7007999420166,4
FMO4,48.27388000488281,4
HBB,37.958460569381714,3
ISLR,30.389639854431152,4
F7,23.912790060043335,4
CD7,22.754759788513184,3
KLF15,20.770359992980957,2
TNFRSF11B,19.508630752563477,2
ABCG8,18.689260005950928,2
MT1H,15.546819686889648,2
ZFP36L2,14.929400444030762,1
ABCG5,14.622020244598389,2
CENPM,14.469429969787598,2
PROZ,14.37952995300293,7
CYP1A2,14.024839878082275,2
UGT2B17,14.003320217132568,2
MFSD2A,13.600889682769775,2
APOA1,13.53587007522583,3
APOB,13.312129974365234,3
METTL7B,11.55780029296875,1
MX1,10.811650276184082,2
NR4A1,10.71619987487793,1
MYC,10.673969984054565,3
SPINT1,9.990489959716797,1
SLC16A13,9.841109991073608,3
UNC93A,9.685829997062683,5
PIPOX,9.342869997024536,4
ABCA6,9.235690116882324,1
NCF2,8.941349983215332,1
TRIB3,8.494440078735352,1
EMILIN1,7.698450088500977,1
ENTPD5,7.690939903259277,1
C1QL1,7.298059940338135,1
ARHGEF16,7.149010181427002,1
CPE,6.401830196380615,2
CDHR2,6.336589813232422,1
F10,6.1935200691223145,1
SLCO1B3,6.181449890136719,1
UGT2B7,5.909199953079224,2
SLC47A1,5.8941497802734375,1
NEURL3,5.7635698318481445,1
PAH,5.167500019073486,2
SERPINC1,5.118799924850464,2
APOM,5.09335994720459,1
ASGR1,4.9688401222229,2
FAM50B,4.337210178375244,1
SLC29A4,3.9825599193573,2
PDZK1IP1,3.728149890899658,1
SULF2,3.579129934310913,2
FETUB,3.5787200927734375,1
IGF2BP2,3.318169951438904,3
SERPIND1,3.2053000926971436,1
DCDC2,2.8478100299835205,1
PDK4,2.7642199993133545,1
NAT2,2.6062400341033936,1
NR2F1,2.504678964614868,4
GFRA1,2.4903199672698975,1
C5,2.421999931335449,1
OSGIN1,2.377530097961426,1
LGALS4,2.291849970817566,2
TM4SF4,2.1723999977111816,2
TSPAN13,2.1454440355300903,2
UNC5CL,2.115959882736206,1
ACSL1,2.037130117416382,1
PHGDH,1.9483599662780762,1
TFR2,1.9155800342559814,1
MST1,1.8063000440597534,1
AMN,1.5763949751853943,2
EPHX1,1.551402986049652,2
PTP4A3,1.5417900085449219,1
KLKB1,1.5358599424362183,1
SLC38A3,1.5045499801635742,1
SEC14L2,1.4790899753570557,1
TXNRD1,1.4037699699401855,1
ICAM1,1.400439977645874,1
AMDHD1,1.3959599733352661,1
CYP4F2,1.2598600387573242,1
NMRAL1,0.9946209788322449,1
HAAO,0.7941830158233643,1
C4orf48,0.7610909938812256,2
CD36,0.7380980253219604,1
SLC10A1,0.7141839861869812,1
CYP4A11,0.704043984413147,2
NGFR,0.545868992805481,2
KLF5,0.535323977470398,1
GPC1,0.4974159896373749,1
LYZ,0.4319869875907898,1
MAPK13,0.3684149980545044,1
MT1F,0.3284029960632324,1
CCN2,0.2804909944534302,1
SLC44A3,0.20639899373054504,1
CSTA,0.19245700538158417,1
EEF1A2,0.18137100338935852,1
PIGR,0.0,0
KCNK5,0.0,0
TFF3,0.0,0
AQP3,0.0,0
SPINK1,0.0,0
MYOM1,0.0,0
SEL1L3,0.0,0
GBP3,0.0,0
GLTPD2,0.0,0
S100A6,0.0,0
FMOD,0.0,0
RGS1,0.0,0
VNN3,0.0,0
DDR1,0.0,0
TC2N,0.0,0
ELF3,0.0,0
NDRG1,0.0,0
LAPTM4B,0.0,0
TNFRSF21,0.0,0
CDKN2A,0.0,0
MUC13,0.0,0
STK39,0.0,0
PRNP,0.0,0
GOLM1,0.0,0
OSMR,0.0,0
HPGD,0.0,0
CXCL8,0.0,0
BACE2,0.0,0
IER3,0.0,0
C1QTNF1,0.0,0
S100A11,0.0,0
KISS1,0.0,0
TM4SF1,0.0,0
CD2,0.0,0
MT1A,0.0,0
MT1E,0.0,0
MT1X,0.0,0
MTMR11,0.0,0
TMEM37,0.0,0
JCHAIN,0.0,0
BATF,0.0,0
FCGR3A,0.0,0
RPL22L1,0.0,0
C1QC,0.0,0
C1QA,0.0,0
C1QB,0.0,0
HLA-DQA1,0.0,0
CD52,0.0,0
MT1G,0.0,0
S100A4,0.0,0
CD3D,0.0,0
CCL5,0.0,0
GZMA,0.0,0
DNALI1,0.0,0
PHLDA2,0.0,0
MAL2,0.0,0
RAB34,0.0,0
NPW,0.0,0
BLMH,0.0,0
SELENOW,0.0,0
TMSB10,0.0,0
SLC39A4,0.0,0
LGALS2,0.0,0
MT2A,0.0,0
GAL3ST1,0.0,0
FST,0.0,0
IGFBP3,0.0,0
HSPA1B,0.0,0
C12orf75,0.0,0
RGS2,0.0,0
SELENOM,0.0,0
FKBP1B,0.0,0
RPL39L,0.0,0
PRELP,0.0,0
TESC,0.0,0
S100A16,0.0,0
TREM2,0.0,0
CTHRC1,0.0,0
ELOVL7,0.0,0
RNASE1,0.0,0
PTPRH,0.0,0
IFI27L2,0.0,0
PKM,0.0,0
RPP25,0.0,0
HBA2,0.0,0
TMEM54,0.0,0
TSPO,0.0,0
NKG7,0.0,0
LY96,0.0,0
FKBP10,0.0,0
PLTP,0.0,0
SNCG,0.0,0
RARRES1,0.0,0
S100A9,0.0,0
SLC15A1,0.0,0
SLC38A1,0.0,0
BIRC3,0.0,0
MYL9,0.0,0
ERICH5,0.0,0
TP53INP1,0.0,0
CXCL12,0.0,0
CCL19,0.0,0
LTB,0.0,0
FSTL3,0.0,0
CCL21,0.0,0
INMT,0.0,0
AQP1,0.0,0
ACTA2,0.0,0
RGS5,0.0,0
HSPG2,0.0,0
IGFBP5,0.0,0
MGP,0.0,0
APLNR,0.0,0
OR2I1P,0.0,0
CCL2,0.0,0
MMP2,0.0,0
COL1A1,0.0,0
COL1A2,0.0,0
COL3A1,0.0,0
COL5A1,0.0,0
LAMC3,0.0,0
ASPN,0.0,0
HEYL,0.0,0
LUM,0.0,0
ADAMTSL2,0.0,0
GEM,0.0,0
LTBP4,0.0,0
COL6A1,0.0,0
TIMP2,0.0,0
HKDC1,0.0,0
ID1,0.0,0
THBS1,0.0,0
BICC1,0.0,0
PMEPA1,0.0,0
FGFR2,0.0,0
SERPINA5,0.0,0
DEFB1,0.0,0
TMEM171,0.0,0
DACT2,0.0,0
EHF,0.0,0
SOD3,0.0,0
A2M,0.0,0
KCNS3,0.0,0
KCTD17,0.0,0
LOXL4,0.0,0
PLBD1,0.0,0
PDE9A,0.0,0
CITED4,0.0,0
PAFAH1B3,0.0,0
SPHK1,0.0,0
NT5DC2,0.0,0
ANXA13,0.0,0
FBLN1,0.0,0
CD24,0.0,0
SLC1A5,0.0,0
CYBA,0.0,0
SYNGR1,0.0,0
LGALS3,0.0,0
SHBG,0.0,0
ACP5,0.0,0
FUT6,0.0,0
COL6A2,0.0,0
FBLN5,0.0,0
AEBP1,0.0,0
UBE2C,0.0,0
CDC20,0.0,0
DUSP5,0.0,0
TCIM,0.0,0
TGFB1,0.0,0
WDR72,0.0,0
EXOC3L4,0.0,0
TRNP1,0.0,0
CLRN3,0.0,0
GJB2,0.0,0
PLEKHA4,0.0,0
VNN2,0.0,0
GNAZ,0.0,0
