feature,gain_importance,split_importance
MT1M,480.4255259037018,19
ATP2B2,371.8736615180969,26
MT1H,253.69559860229492,8
RBP4,147.8527787923813,11
C3,96.47649765014648,3
KLF15,89.37610149383545,4
PMEPA1,71.98270976543427,8
PEG10,61.91776943206787,7
CYP2A7,58.28099012374878,11
GPC6,54.93030071258545,3
CYP27A1,54.662439823150635,6
SERPINA10,53.98225975036621,5
CYP2D6,49.87539052963257,6
ADM2,47.31219959259033,3
F10,44.282999992370605,4
APOB,43.50122928619385,4
COL6A2,40.93613958358765,4
SNX7,39.2121000289917,2
MAT1A,36.47086048126221,3
RARRES2,34.577680587768555,3
