feature,abs_coeff
ARHGEF16,0.2755883538988813
PTK6,0.24896869827149934
FCAMR,0.24882961035926304
CCNE1,0.2115500915831953
PHLDA1,0.19554169579262767
ENTPD5,0.1865252518235335
SYPL2,0.1794253700624198
ACSM1,0.17154540036992383
NCF2,0.17123843299621952
F11,0.1690672285928838
IRX3,0.16441901869098424
ENPP3,0.16252493634619025
TMOD1,0.1570787369794976
ALDH1B1,0.1568318882433097
ADH1C,0.15533146739952639
SOAT2,0.15224632100645694
PSAT1,0.15174500158724477
HLA-DMA,0.14891742523420048
TPX2,0.14695884236944562
PLAAT2,0.14679393348851738
ASL,0.1453712587625113
CCNB2,0.14323590818203777
HLA-B,0.14214302017308866
TDGF1,0.14204682607063254
SLC47A1,0.14030303446192222
CYP2D6,0.140266569823825
MCHR1,0.13934919507436005
GADD45G,0.13804044599689344
CCNB1,0.13792279650030057
LARGE2,0.1349913011168612
AKR1B1,0.13425106681697732
ALDH6A1,0.1338274758198151
HMOX1,0.1336102139179046
FMO5,0.1325599202112108
SLC16A1,0.1310324155070736
FSTL3,0.13064164730489214
ERAP2,0.1297530331049315
CHAD,0.12970433106421594
MNS1,0.12969954797125188
TMEM176A,0.12557807972258553
THBS1,0.12505313730010056
GSTA1,0.12406780002031058
ZFAND5,0.12321692213320516
ATP6V0E2,0.12211387903334217
KRTCAP3,0.12205185023614057
IGF2BP1,0.12175895396992949
TRIM55,0.12151461936290534
AKR1B15,0.12062284339336103
C1QTNF1,0.12059927313450708
MASP2,0.12055391470211214
SLC49A3,0.12019975709530349
F13A1,0.11903400967739422
PRSS8,0.11874035075662294
GPC6,0.1187104318865028
CRYAB,0.11853578733265292
NAGS,0.1183070754651255
CYP11A1,0.11801167365715902
FAM3B,0.11778113224022245
STMN3,0.11667917217059617
PHGDH,0.11665364721041414
INHBE,0.11619966247060619
ABCA8,0.11584381819882228
PYROXD2,0.1145164712111463
HTRA3,0.11398375692433997
SCNN1A,0.11396856912279422
SULT1B1,0.11317402176552278
MATN2,0.11308979475247614
SNAI2,0.11206462892413957
ELMO3,0.11195589788508646
MT1G,0.11180153705293454
FGFR3,0.11054435403760052
SLC17A9,0.11014544200077538
LAMA3,0.10917559662145898
LAD1,0.10909707129683742
SOCS2,0.10821403307060441
MT1M,0.10783751786665545
C8G,0.1076774547320911
ADM2,0.10742752387599454
MCM2,0.10722877877636613
C4orf48,0.10710853647791654
MT1F,0.10632180193248936
AMN,0.10539090888882649
MTMR11,0.10534580032896833
SHBG,0.1050521765164018
FTL,0.10490136947302069
CPVL,0.10479939119604799
F12,0.10457965594015134
ZNF331,0.10446583662641304
LYNX1,0.1042451574711385
IGSF9,0.10395216772257748
BST2,0.10358723298485364
UGDH,0.1033717636252377
SLC16A13,0.10323408002332467
ASPH,0.1031624241870046
ATP2B2,0.10264444218511203
SULT2A1,0.10255247259757408
TRIB2,0.10244810802921073
PRSS3,0.10242545076038241
RBM24,0.10234954718104303
NT5E,0.10174405288666723
ACSM5,0.10171520342493713
UGT1A1,0.10098095156783912
SYNGR1,0.1009382999622331
GPAT3,0.09990246940786236
ZNF467,0.09965528406534312
CPB2,0.09945577956979017
CSTA,0.09922566644079073
LCN2,0.09910817058107686
CCL21,0.09910164445428794
SLC22A18,0.09896649319347534
KIFC1,0.09872938249378238
PKDCC,0.09860725151482125
PLIN1,0.0982859975227812
HAO2,0.09777656864227098
UNC93A,0.09759533237228911
SERPINE2,0.09758331032220605
TMEM171,0.09637426103853768
TTPA,0.09636119818737676
FAM50B,0.09621564292343524
MSI1,0.0960444199957212
F10,0.09602950484961315
MAB21L4,0.09581970395240315
CCDC80,0.09563575535031882
BSPRY,0.09551833035188709
HMGCS1,0.09547831655746611
H2AC11,0.09500022674228392
TGFB1,0.09466904275819644
AMACR,0.09462168390737205
CYP4A11,0.09433407919048063
ANKRD65,0.09413713083997963
ISG15,0.09337847434357871
PLA2G1B,0.09337488853053444
ACADL,0.09320754429652078
GBP2,0.09287110771850732
ACADSB,0.09275624201815953
HLA-DQB1,0.09237913549824697
TRNP1,0.09231611778774793
HMGA1,0.09189412382490438
RGS2,0.09163369985279399
MT1H,0.09152827676397954
IGFBP1,0.09144797131169465
HLA-DPA1,0.09109292084886746
GPR88,0.09089717651730009
SLC22A3,0.09060375885752538
TC2N,0.09039432253641866
SLC13A3,0.09017521680581268
BACE2,0.09012750222215694
CD74,0.0892043477095244
IL22RA1,0.08907652775308057
RETREG1,0.08872553060570325
STK39,0.08868152774869378
APOA1,0.08820395770708016
PLG,0.08804325145596927
E2F1,0.0880315635918602
SOX4,0.08772618629405689
RAC3,0.08750013912913181
SEC24C,0.08713052049730877
MSC,0.08686830537688593
LAMC3,0.08643165089127498
DACT2,0.08632509900656621
PDGFA,0.08626854056818853
HEYL,0.08624622954357955
ART4,0.08610642814511095
MRC1,0.08588785071395638
HGFAC,0.08573023669161127
ADH1B,0.08539477335565678
POSTN,0.08512747456210623
RFTN1,0.08508820098599258
SLC28A1,0.08497033101881357
STEAP2,0.08420176380655364
GLYATL1,0.08415066528187558
HSPG2,0.08402644053300652
GLTPD2,0.08394853190846929
PRAP1,0.08353088104794916
C4BPB,0.08352635731774372
GNMT,0.08345490281408091
CA14,0.08303512880006449
RAB26,0.08291208145173773
BDH1,0.08279248863463556
MYC,0.08274534074502717
RHOB,0.08191755846579586
ZNF703,0.08160331995470607
CHAC1,0.08149706023042737
APBB1IP,0.08141055563374622
AGPAT2,0.08089467769865763
LY96,0.08078154217789701
INMT,0.08070951001519655
AKR1C1,0.08061453678529416
PON1,0.08020109817134487
SLC27A3,0.08012678739215127
MAP3K5,0.08001375862932948
DCXR,0.07947997925417707
CHRDL2,0.07933709034158734
LOXL4,0.079078040215653
SLC22A1,0.07874795721805246
UGT1A4,0.07872850321744745
