feature,importance
MGLL,0.02022755321898608
AFP,0.016332963294602182
MT1M,0.014711309326391465
HBB,0.014572051408096387
GPC6,0.011658765289171164
SNX7,0.009050216187529943
METRN,0.00828844573668279
ISLR,0.008085989320323738
FTL,0.0077427103110847065
ATP2B2,0.007559491019334939
KLF15,0.00748668657227006
PMEPA1,0.006439209410539131
DCN,0.006408144308324301
PEG10,0.006395549665420843
MT1H,0.00581203855220122
ST3GAL1,0.005455603685102411
CDKN1C,0.005308263955280438
TPX2,0.005262658222761493
HMGA1,0.005239163768222346
LRRC3,0.005049498619353583
CPB2,0.004983862825297683
F11,0.004927485658149992
AEBP1,0.004783517091519303
MATN2,0.004715532375655696
CYP1A2,0.0046004621045444725
SYBU,0.004593868618197317
C1QL1,0.004593113058077404
FBLN2,0.004586724296151942
KIFC1,0.00454810608729142
CENPM,0.004517046332192029
CYP1A1,0.0044988827895781685
RHOB,0.004413867632482367
SCNN1A,0.004307905868130469
TMOD1,0.004295138289063586
TFF3,0.004234809877411171
MCHR1,0.0042279294620310905
CYP2D6,0.004164361675054116
MFAP4,0.004060875036962353
SIGIRR,0.0039223727660412456
RAC3,0.003907983658143361
MMP2,0.00389470564077281
ELN,0.0038525275341121977
MROH6,0.003811364996355464
ACKR3,0.003771242390035866
ELFN1,0.003719465316741946
MX1,0.0036715911915300866
AKAP12,0.003558763742194561
FABP4,0.003518051366902006
CLEC3B,0.00347373354994352
ALDH3A1,0.0034593979222611437
SEC24C,0.00345052694915982
SOCS1,0.003438753147114806
NOTUM,0.0032897318649455806
THBS2,0.003201377764873794
FMO4,0.0031778928513528128
RPL8,0.0031555620799428043
CDKN3,0.003153414085214128
CA14,0.0031271073005416207
ART4,0.0031241807775671837
NCF2,0.0030972762635953608
DTX4,0.003096173716583735
S100A8,0.003089910260952576
TMEM256,0.003087980229161829
APOA1,0.0030513254086619
TRIB3,0.002997605488989417
UNC93A,0.002988368137245374
AURKB,0.002952758766041322
MT2A,0.0029456812784700885
ECM2,0.0029383040471146976
PFKFB3,0.0028465295808877307
PTK6,0.002826101191756374
F10,0.0027941035484301234
TYMP,0.0027897025103939383
MTMR11,0.002770435294658075
PYROXD2,0.0027598635699266263
ASGR2,0.002699911002749022
DKK3,0.0026602476853454437
LAMA3,0.002657718651030376
SYPL2,0.002650233816295884
CFH,0.0026256515743622137
CTH,0.0025850869140292784
TTC36,0.002508995384718446
PLA2G2A,0.002472384430806735
PLIN1,0.002466373630422659
MYL9,0.002463587112707286
NR2F1,0.002451622115788483
SLC27A3,0.0024498361973424856
C7,0.002432779716957837
SLC17A9,0.0024294230220163514
EPDR1,0.0024114028893765637
HPN,0.0024092488249334914
NT5E,0.00233181846431288
CLDN14,0.0023304619535679536
ASPH,0.0023300597461789222
ASGR1,0.002304435023749452
APOH,0.0023043240456864997
PDE9A,0.0022955479653816615
RPP25,0.002295225585897358
KLKB1,0.002222491301440588
C4orf48,0.00218741197960357
NPNT,0.0021450987291478318
FBLN1,0.0021426533520163657
RFTN1,0.0021394822775203603
ARHGEF16,0.002118195128806847
PKIB,0.0021021254726083494
ENTPD5,0.0020932871052377748
HSPB1,0.002081742864332781
SOCS2,0.0020651879178852344
RBP4,0.0020629029910774373
BMERB1,0.0020414921228352444
GUCA2B,0.0020318391169543764
UGDH,0.002024432513638771
RARRES2,0.0020169323080418268
ATP6V0E2,0.0020045105115910258
RPL26,0.0020003184130572642
ABCG8,0.0019554372295513428
EBF4,0.001939073543763723
TCIM,0.0019375913653141693
ENPP2,0.0019153351978461245
MSI1,0.0019142094596809446
