feature,importance
MGLL,0.02022755321898608
AFP,0.016332963294602182
MT1M,0.014711309326391465
HBB,0.014572051408096387
GPC6,0.011658765289171164
SNX7,0.009050216187529943
METRN,0.00828844573668279
ISLR,0.008085989320323738
FTL,0.0077427103110847065
ATP2B2,0.007559491019334939
KLF15,0.00748668657227006
PMEPA1,0.006439209410539131
DCN,0.006408144308324301
PEG10,0.006395549665420843
MT1H,0.00581203855220122
ST3GAL1,0.005455603685102411
CDKN1C,0.005308263955280438
TPX2,0.005262658222761493
HMGA1,0.005239163768222346
LRRC3,0.005049498619353583
